,1-gram,2-gram,3-gram,4-gram,5-gram,trace_variants
observation_ids,827.0,827.0,827.0,827.0,827.0,827.0
Q1_abundance,0.0,16.0,111.0,363.0,817.0,659.0
Q1_incidence,0.0,16.0,111.0,364.0,818.0,659.0
Q2_abundance,0.0,5.0,55.0,133.0,274.0,29.0
Q2_incidence,0.0,5.0,55.0,133.0,275.0,29.0
observed_species_count,16.0,133.0,448.0,1000.0,1812.0,707.0
chao2_abundance,16.0,158.6,560.0090909090909,1495.3721804511279,3030.045620437956,8194.603448275862
chao2_incidence,16.0,158.6,560.0090909090909,1498.1052631578948,3028.589090909091,8194.603448275862
D1_sample_abundance,9.429987046193128,39.27736301192336,118.13983620468377,308.4619066861629,673.4893415135481,606.4293632537186
D1_sample_incidence,11.629567499605324,45.694519403370116,125.70773985945566,317.726841533861,686.7711266412006,606.4293632537186
D1_estimated_abundance,9.435703814193557,39.479930927817044,120.41533502626092,323.1538548525106,738.37499958893,990.1499519674463
D1_estimated_incidence,11.63458908019428,45.958975648314066,128.33211597674526,333.68811693337,755.3385681513528,990.1499519674463
D2_sample_abundance,7.474168439245915,23.832914164324862,59.800491571290266,127.73897781695918,304.2341438423555,398.3278974956255
D2_sample_incidence,10.900650958547054,29.9512296001563,60.64541873968537,126.99906042216698,305.38604864930494,398.3278974956255
D2_estimated_abundance,7.478068098728097,23.87407975969605,60.085069227890735,129.15299986122463,313.05658296022324,767.5303370786517
D2_estimated_incidence,10.889635490968459,29.96221091199796,60.82931219537475,128.18995237501255,313.91661619941124,766.6022471910112
completeness_abundance,1.0,0.8385876418663304,0.7999870131978377,0.6687298406864285,0.5980107981800279,0.08627629200882835
completeness_incidence,1.0,0.8385876418663304,0.7999870131978377,0.6675098369870713,0.5982983975736677,0.08627629200882835
coverage_abundance,1.0,0.9987918715651509,0.9910606362389265,0.9686467113347041,0.9240824204250015,0.20322879133808602
coverage_incidence,1.0,0.9985146876053457,0.9900683519064492,0.9665398610032211,0.9209770200124886,0.20322879133808602
l90_abundance,0.0,10145.030795995757,8685.166330048229,18923.100452243947,22320.3438348583,20788.269849030425
l95_abundance,0.0,24831.987775444304,17369.519136551695,29873.916475143644,33440.72287459287,27301.37952790811
l99_abundance,0.0,58934.04581442797,37533.96190388605,55300.923860657174,59261.44339274914,42424.35187637704
l90_incidence,0.0,631.669484981218,577.3377815782716,1357.6938644559316,1708.0651895427593,20763.25876544987
l95_incidence,0.0,1548.079328709687,1155.4287622446798,2141.5155895821053,2559.934205577812,27268.839425694085
l99_incidence,0.0,3675.9170912941518,2497.714451655004,3961.493274535645,4537.912807073655,42374.32993427102
